trx_date,yield_pcent
1/1/2016,8.757
1/4/2016,8.822
1/5/2016,8.853
1/6/2016,8.82
1/7/2016,8.823
1/8/2016,8.809
1/11/2016,8.779
1/12/2016,8.693
1/13/2016,8.584
1/14/2016,8.549
1/15/2016,8.546
1/18/2016,8.659
1/19/2016,8.64
1/20/2016,8.595
1/21/2016,8.513
1/22/2016,8.403
1/25/2016,8.4
1/26/2016,8.481
1/27/2016,8.448
1/28/2016,8.427
1/29/2016,8.26
2/1/2016,8.141
2/2/2016,8.114
2/3/2016,8.163
2/4/2016,8.106
2/5/2016,8.024
2/9/2016,8.04
2/10/2016,8.003
2/11/2016,7.952
2/12/2016,7.971
2/15/2016,7.968
2/16/2016,7.982
2/17/2016,8.071
2/18/2016,8.043
2/19/2016,8.109
2/22/2016,8.158
2/23/2016,8.177
2/24/2016,8.287
2/25/2016,8.284
2/26/2016,8.26
2/29/2016,8.263
3/1/2016,8.268
3/2/2016,8.152
3/3/2016,8.054
3/4/2016,7.924
3/7/2016,7.856
3/8/2016,7.907
3/9/2016,7.908
3/10/2016,7.887
3/11/2016,7.78
3/14/2016,7.741
3/15/2016,7.769
3/16/2016,7.789
3/17/2016,7.635
3/18/2016,7.663
3/21/2016,7.713
3/22/2016,7.796
3/23/2016,7.774
3/24/2016,7.782
3/25/2016,7.775
3/28/2016,7.835
3/29/2016,7.855
3/30/2016,7.726
3/31/2016,7.668
4/1/2016,7.595
4/4/2016,7.623
4/5/2016,7.624
4/6/2016,7.619
4/7/2016,7.583
4/8/2016,7.574
4/11/2016,7.535
4/12/2016,7.491
4/13/2016,7.428
4/14/2016,7.464
4/15/2016,7.414
4/18/2016,7.444
4/19/2016,7.429
4/20/2016,7.412
4/21/2016,7.455
4/22/2016,7.61
4/25/2016,7.668
4/26/2016,7.63
4/27/2016,7.638
4/28/2016,7.645
4/29/2016,7.74
5/2/2016,7.707
5/3/2016,7.692
5/4/2016,7.759
5/5/2016,7.782
5/9/2016,7.793
5/10/2016,7.8
5/11/2016,7.809
5/12/2016,7.798
5/13/2016,7.711
5/16/2016,7.733
5/17/2016,7.644
5/18/2016,7.695
5/19/2016,7.867
5/20/2016,7.927
5/23/2016,7.93
5/24/2016,7.957
5/25/2016,7.922
5/26/2016,7.895
5/27/2016,7.85
5/30/2016,7.887
5/31/2016,7.874
6/1/2016,7.854
6/2/2016,7.903
6/3/2016,7.859
6/6/2016,7.798
6/7/2016,7.683
6/8/2016,7.615
6/9/2016,7.623
6/10/2016,7.646
6/13/2016,7.635
6/14/2016,7.646
6/15/2016,7.644
6/16/2016,7.614
6/17/2016,7.63
6/20/2016,7.627
6/21/2016,7.641
6/22/2016,7.626
6/23/2016,7.608
